pid,intent,source,utterance,response,subcat
1392620,CHECKIN,airlines.csv:17927,<cust__ __company__ - you really need to retrain your gate agents on doc requirements to/from canada . carrying passport not req when carrying nexus __cust>,"<rep__ __cust__ we always want you to have a great boarding experience . thank you for sharing your feedback with us . __rep> <cust__ __company__ this is a big issue . what if someone forgot their passport at home , but had their nexus card ? need to train on this . __cust> <rep__ __cust__ we want to ensure consistency across our team and appreciate you reaching out to us about this . __rep> <cust__ __company__ not just consistency , but efficiency and quality customer service . __cust> <rep__ __cust__ we 're always looking for ways to improve . customer service is a priority to us . __rep> <cust__ __company__ __cust__ american airlines is the worst . my little sisters flight has been delayed for mechanical issues __num__ x this morning . __cust> <cust__ __twitter_at__ __company__ all airlines have delays of that sort . __cust> <cust__ __cust__ __company__ multiple planes , i dont think so . her flight is __num__ hours + late . __cust> <cust__ __twitter_at__ __company__ i let airlines have it when they deserve it . mechanicals are airline responsibility , but not unique to aa . __cust>",
2351733,BAGGAGE,airlines.csv:40974,<cust__ my suitcase is __num__ lbs . hope it does n't magically gain weight before i hop on my __company__ flight weds morning __cust>,"<rep__ __cust__ you can always separate into two suitcases to make sure , since __twitter_tag__ here . __initials__ __rep>",
937735,DELAY,airlines.csv:15654,<cust__ __company__ so this is frustrating ... .needing to get to kc this afternoon . should i rent a car and drive ? ? ? ? no one knows what time ? ? ? __cust>,<rep__ __cust__ we 're estimating to depart now at __num__ p. thanks for your continued patience . __rep>,
2674281,CUSTSUPP,airlines.csv:41951,<cust__ __company__ i appreciate that you all took the time to make it right . thank you for my __twitter_tag__ cant wait to book my next trip __cust>,<rep__ __cust__ of course ! we 're glad that we can invite you back for a much more typical experience with this gesture of goodwill . __initials__ __rep>,
729972,BOOKFLT,airlines.csv:27321,<cust__ __company__ explain flight glasgow to orlando that require stop gatwick costs far less that direct from glasgow ! ! seriously confused __cust>,"<cust__ __company__ exactly the same flight ! ! ! ! but far cheaper flying from glasgow to london first and catch exactly same plane ! stupidity or what __cust> <rep__ __cust__ hi andrew . we offer this lower fare , so that we can be competitive on the route . we hope you can take advantage of the offer ! ^liz __rep>",
853346,REWARDS,airlines.csv:36210,<cust__ __company__ why is las vegas not part of california ? : ( so close to this companion pass offer but yet sooooo far ! __cust>,"<rep__ __cust__ hopefully , we 'll have another promo for las vegas soon , brett ! hang in there ! __initials__ __rep>",
804992,OTHER,airlines.csv:15051,<cust__ goodbye __company__ measure of a great airline is how they respond when things go wrong ! you 've let me down for the last time ! __twitter_tag__ __cust>,"<rep__ __cust__ we never want to disappoint you and would rather keep you flying with us . how an we help turn things around , michael ? __rep> <cust__ __company__ it is just sad that all the hard work you do on twitter & all the aa crews put in every day can be undermined by a faceless accountant ! __cust> <rep__ __cust__ we try to help whenever we can , and encourage you to continue working directly with bag team for resolution on your luggage replacement . __rep> <cust__ __company__ __cust__ so poor . i worked at __airport_code__ airport and even if a bag got damaged thro security it was replaced based on the customer 's estimate of it 's value __cust>",
2244133,OTHER,airlines.csv:8959,<cust__ __company__ : thank you for another miserable flight from __airport_code__ to __airport_code__ . __cust>,<rep__ __cust__ sorry to hear you did not enjoy your flight . are you in any need of assistance ? __initials__ __rep> <cust__ __company__ thank you for reaching out . everything is fine just disappointed in the inflight service . __cust> <rep__ __cust__ you 're welcome . our goal is to do better than that . i do apologize deeply for us missing a beat . __initials__ __rep>,
2223586,CHECKIN,airlines.csv:8904,<cust__ __twitter_at__ im enrolled in goes and suddenly my passid is not being recognized by __company__ for __airport_code__ precheck . how do we resolve ? __cust>,"<rep__ __cust__ __twitter_at__ hi , there . can you please share your confirmation number with me ? __initials__ __rep>",
251249,DELAY,airlines.csv:34496,<cust__ originally home by __num__ am now in albany by __num__ pm . thanks __company__ __cust>,"<rep__ __cust__ glad we could connect you with home a little ahead of schedule , billy . thanks for sharing the sky with us tonight . __initials__ __rep>",
1399080,DELAY,airlines.csv:37768,<cust__ almost __num__ hour delay for __num__ hour flight __company__ __cust>,"<rep__ __cust__ our apologies for the trouble , pat . what 's your flt # ? we 'd be happy to get an update for you . __initials__ __rep> <cust__ __company__ # __num__ . why almost __num__ hours ? __cust> <cust__ __company__ sorry , almost __num__ hour delay __cust> <rep__ __cust__ it looks like we 're switching out your aircraft due to a mechanical issue . we appreciate you hanging in there with us ! __initials__ __rep> <cust__ __company__ any new update , passengers here are saying will be later than __num__ pm . is this true ? __cust> <rep__ __cust__ as of now , we 're still looking at an __airport_code__ of __num__ pm . should new information become available our agents will make announcements . __initials__ __rep>",
230681,DELAY,airlines.csv:12573,"<cust__ everyone loves a `` flight delayed , we changed your flights , your new flight is cancelled , go home , come back tomorrow '' story . __company__ __cust>","<rep__ __cust__ that 's not a story we love , barry . we 're sorry for the inconvenience . __rep> <cust__ __company__ touch . seems to be some major issues out of hawaii and your online system has been down for a few hours , complicating matters . any updates ? __cust> <rep__ __cust__ we see you 've been rebooked for the __num__ a flight tomorrow and that flight looks good to go . __rep> <cust__ __company__ great . we have it written down but no email conf yet & record locators return error messages so cant check online . obv a little concerned . __cust> <rep__ __cust__ we 've resent the email with the itinerary for you . you should receive that within a couple of hours . __rep> <cust__ __company__ nice one ! thanks for your help and communication . much appreciated . hopefully all goes smoothly tomorrow . __cust>",
1921134,DELAY,airlines.csv:39442,<cust__ __company__ killing me today ! __num__ hr delay for a broken armrest on wn __num__ from midway ? ! seriously ? had to rebook : ( __cust>,"<rep__ __cust__ we apologize for the delay , cheryl . we 're glad to hear you 've been rebooked . we appreciate your patience and understanding today . __initials__ __rep>",
1442695,OTHER,airlines.csv:18135,<cust__ __company__ ! __twitter_tag__ rep alexsys makes me look forward to layovers __twitter_at__ shes the best __cust>,"<rep__ __cust__ way to go alexsys ! we 're so glad she 's taking excellent care of you , and ca n't wait to let her know . __rep>",
2055739,FLIGHTSTAFF,airlines.csv:39979,<cust__ __company__ luv u . __num__ qik tip : on flights w/ no plane chg ... ask passgers to use rear lav . avoids congestion @ front when crew is boarding ! ! __cust>,"<rep__ __cust__ thanks for the suggestion , ck ! we 're always open to hearing feedback from our customers , so we appreciate you reaching out to us . __initials__ __rep> <cust__ __company__ thx ! u all are the best . have n't flown domestic on any other airline in forever ( & i travel a lot ! ) . have a great wkend ! __company__ __cust>",
1355844,DELAY,airlines.csv:37657,<cust__ this is literally the forth time in a row i 've booked with __company__ and my flight has been delayed . # __num__ morehours . what the fuck . __cust>,"<rep__ __cust__ we 're sorry for the delay today , isabel . thanks for staying patient w/ us while we work to have you on your way asap . __initials__ __rep>",
1102931,DELAY,airlines.csv:16486,<cust__ __company__ made it to the gate ! ! waiting on jet way drivers ? how ? __cust>,"<rep__ __cust__ we 're so sorry for the wait tonight , dustin . we really appreciate your understanding . __rep>",
941514,CHGFLT,airlines.csv:3761,<cust__ phone reps told me the only ppl who cld help r __company__ reps at airport . i went to airport . searched for __num__ mins . no rep. flight in __num__ hrs . __cust>,<rep__ __cust__ i am really sorry about this . have you tried reaching out to a red coat or management of some sort regarding this ? __initials__ __rep> <cust__ __company__ __airport_code__ . i just spent __num__ minutes in the __airport_code__ airport searching for anyone to talk to . no __company__ reps to be found . i 'm trying everything delta . __cust>,
2317225,BAGGAGE,airlines.csv:9207,"<cust__ __company__ hi , do suit bags count as a personal items besides carry on baggage ? __cust>",<rep__ __cust__ thanks for asking . they count as part of your carry on luggage . __initials__ __rep>,
125458,OTHER,airlines.csv:302,<cust__ yo __company__ __cust>,<rep__ __cust__ good evening ! __initials__ __rep> <cust__ __company__ __cust__ theres a bomb on one of your planes __cust>,
2525256,OTHER,airlines.csv:41483,"<cust__ thanks __company__ for making __twitter_tag__ __twitter_tag__ a little more __twitter_tag__ ! `` you get a __twitter_tag__ , you get a row ! '' `` do n't let anyone sit next to you . i give you permission . '' why __twitter_tag__ ! `` if there 's anyone sitting in a __twitter_tag__ , i will charge you __twitter_tag__ . '' __cust>","<rep__ __cust__ got ta keep that fun loving attitude alive ! we 're so happy to have you onboard with us , megan . have a great flight ! __initials__ __rep> <cust__ __company__ it 's one of the many reasons why i fly __company__ __twitter_tag__ even as the __twitter_tag__ __cust>",
1919848,BAGGAGE,airlines.csv:39437,<cust__ __company__ thank you for telling us that we could send generators with the airline and then when we got to the airport we could n't . __cust>,"<cust__ __company__ __company__ puerto rico has a crisis and you guys are playing with us . worst company ever . __cust> <rep__ __cust__ i 'm sorry sha , but southwest does n't accept generators in any condition ( new or used ) . we genuinely apologize for any frustration . __initials__ __rep> <cust__ __company__ well you should inform all your staff because yesterday we called and you told us that we could . thank you for wasting my time __cust>",
1510287,TERMOPS,airlines.csv:6313,<cust__ __company__ shout out to zach w at __airport_code__ gate s __num__ . thanks for living the the dream ! you 're my employee of the month ! __cust>,"<rep__ __cust__ thank you for reaching out , i will forward to his management team . have a great week . __initials__ __rep>",
1842996,BAGGAGE,airlines.csv:30584,<cust__ __company__ i 'm checking in and it 's asking me to pay for extra luggage that i 've already paid for . what is going on ? __cust>,"<rep__ __cust__ hi charlotte , if you 've already paid for checked luggage , our staff at the airport will be able to verify this . ^gareth __rep>",
2893538,OTHER,airlines.csv:33754,"<cust__ __company__ please assist . duty free charge gone off my card __num__ / __num__ - not travelled with you since __num__ / __num__ , who do i talk to ? __cust>","<rep__ __cust__ hi , rebecca . did you buy something on board in september ? if so , did the payment debit from your card then ? if not , is this a duplicate payment ? ^cecilia __rep>",
904417,DELAY,airlines.csv:3562,<cust__ __company__ __twitter_at__ any update on flight __num__ ? they have t given us a reason for the delay __cust>,<rep__ __cust__ __twitter_at__ hello . please allow me one moment to research this . thanks . __initials__ __rep>,
2871354,OTHER,airlines.csv:11573,"<cust__ la la land , you get me every time . ( thanks , __company__ studio ! ) __twitter_tag__ __twitter_tag__ __cust>",<rep__ __cust__ glad you enjoyed it ! thanks for flying delta . __initials__ __rep>,
1538976,INFLIGHTFACS,airlines.csv:18543,<cust__ flying with a broken bathroom.. not ideal when youre pregnant . thanks for nothing __company__ .. __cust>,"<rep__ __cust__ we 're very sorry for that , leah . please check with the crew , the other bathrooms may be operable . __rep> <cust__ __company__ there was only one on the flight ... which was not working . __cust> <rep__ __cust__ we realize that may have been uncomfortable , and we 're again truly sorry . __rep>",
702636,DELAY,airlines.csv:14652,<cust__ new proof that __company__ is the worst airline ever : stuck in __twitter_tag__ because of aircraft maintenance __twitter_tag__ __twitter_tag__ __twitter_tag__ __cust>,<rep__ __cust__ our team is hard at work to get you on your way as soon as we can . sorry for the delay tonight . __rep> <cust__ __company__ problems with food . problems with baggage . problems with timing & delays . please improve your service ! isnt great what youre going for ! ? __cust>,
618004,INFLIGHTENT,airlines.csv:14296,<cust__ __company__ is playing some good indie tunes on this flight ( norway - beach house ! ! ! ) __cust>,"<rep__ __cust__ we have a lot of different tunes to appeal to a wide variety of tastes , kat . we 're glad to hear your enjoying them ! __rep>",
1840497,OTHER,airlines.csv:19810,<cust__ but my __airport_code__ i hate the __twitter_tag__ of __company__ s __twitter_tag__ __twitter_tag__ __twitter_tag__ . ahhhh maaahhh gaaaaadddd __twitter_tag__ __cust>,<rep__ __cust__ we 're very sorry for the frustration you 've experienced today . we never want your experience with us to be anything but smooth . __rep>,
153966,OTHER,airlines.csv:357,<cust__ seat __num__ a in an asymmetrical first class cabin = happiness . thanks __company__ for todays upgrade . __cust>,"<rep__ __cust__ awesome ! now you can stretch out , relax , & enjoy the flight . thanks for choosing delta . __initials__ __rep>",
886541,DELAY,airlines.csv:27776,<cust__ __company__ my flight tomorrow has been cancelled ? __airport_code__ ! ! __num__ heathrow to stockholm __cust>,"<rep__ __cust__ hi james , the flight has been cancelled due to adverse weather conditions . you should be able to rebook or refund via manage my booking.^sop __rep> <cust__ __company__ rebooked on a later flight , still losing half a day of my weekend away with the girlfriend __cust> <rep__ __cust__ we 're sorry for any inconvenience caused , james . the safety and security of passengers and crew is our main priority . __num__ / __num__ __rep>",
2977078,OTHER,airlines.csv:25145,"<cust__ the one time i do n't book __twitter_at__ for my flight home for christmas because it was a little pricier than normal and i go with __company__ instead . as if flying for the holidays is n't stressful enough ! never again . __twitter_at__ , i will never leave you again . __cust>",<rep__ __cust__ we 'll let it slide this one time ... we look forward to sharing the skies again soon ! __initials__ __rep>,
2277195,INFLIGHTFACS,airlines.csv:21726,"<cust__ __company__ completely asinine management . book flight __num__ mos ago , yet you can not put __num__ ppl together ? u suck __cust>",<rep__ __cust__ seating will be assigned at the airport when you arrive . the gate team will do all possible to keep your party together . __rep>,
1646910,DELAY,airlines.csv:38430,<cust__ __company__ __num__ hours worth of delays and now ive been waiting over __num__ minutes for my bag for flight # __num__ . i know it snowed but come on ! __cust>,"<rep__ __cust__ we know weather related delays are frustrating , michelle . we appreciate your patience today . __initials__ __rep>",
1870795,CUSTSUPP,airlines.csv:7631,<cust__ __company__ i would rather die a slow painful death than be connected to promotions . long wait for no help . __cust>,"<rep__ __cust__ hi , shannon . when using a companion certificate , please contact amex companion certificate desk __num__ - __num__ for assistance . thanks . __initials__ __rep> <cust__ __company__ the time on hold to get them is too long . __cust> <rep__ __cust__ perhaps a different time ? i wish we could process it for you . i 'm sorry . __initials__ __rep>",
2653558,REWARDS,airlines.csv:10670,<cust__ . __company__ what r rules for diamonds traveling with family on alitalia for seats and luggage ? __cust>,"<rep__ __cust__ tim , to avoid providing any incorrect information . i would advise that you contact alitalia directly regarding your concerns . __initials__ __rep>",
712089,REWARDS,airlines.csv:2676,<cust__ __company__ why when i try to enter the contest for the trip to manchester i 'm told that my skymiles number is invalid ? ? ? ? ? __cust>,"<rep__ __cust__ hi , johnathan . i apologize for the confusion . we are looking into this matter . __initials__ __rep>",
490089,DELAY,airlines.csv:26514,"<cust__ __company__ why is ba flight __num__ from abuja to london delayed almost __num__ hours ? and are you offering any alternatives - i need to get to london today , not tomorrow ! __cust>",<cust__ __company__ hi __company__ could you please explain how ba __num__ can be delayed __num__ hours with no explanation other than 'a technical issue ' ? this is destroying my travel plans . __cust> <rep__ __cust__ we 're really sorry your flight has been delayed . this is due to a technical issue . the safety and security of our passengers and crew is our main priority . our team are working to resolve this issue as quickly as possible . we apologise for any inconvenience caused . ^danih __rep>,
1649341,DELAY,airlines.csv:38452,<cust__ __company__ absolutely ridiculous waiting __num__ hours for a flight figure it out __cust>,"<rep__ __cust__ without a doubt , delays are frustrating for everyone involved , including us . we apologize for the inconvenience today , tj . __initials__ __rep>",
1723535,TERMOPS,airlines.csv:30278,<cust__ wow . __company__ staff reading a passengers medical letter aloud for all to hear at __airport_code__ . really unprofessional . ba __num__ to __airport_code__ . __cust>,"<rep__ __cust__ this is disappointing to hear . did this happen at the check-in desk ? ^cec __rep> <cust__ __company__ gate . in front of pack queue . __cust> <rep__ __cust__ we appreciate this is n't the expected service , and this will be fed back . thanks for letting us know . ^cec __rep>",
181611,DELAY,airlines.csv:472,"<cust__ soooo , __company__ delayed my flight to rome and now i wo n't get to stockholm for another __num__ hours . i 'm __money__ poorer , hungry and sleep deprived . __cust>",<rep__ __cust__ i 'm sorry for the inconveniences . __initials__ __rep>,
87341,INFLIGHTENT,airlines.csv:25415,<cust__ __company__ just do n't understand why you fly b __num__ on __airport_code__ -blr sector and that too old planes with seriously old seats and tv screen ( lets not even talk about this ) . this sector is always full to capacity that one could fly __num__ or a __num__ . __cust>,"<rep__ __cust__ well certainly take your feedback onboard , for sure . were refurbishing many of our aircraft but they do take some time . were working hard to update them as quickly as possible.^corry __rep>",
1843987,OTHER,airlines.csv:30597,<cust__ time for prague with my sister to another mister . where beer is cheaper than water __company__ __cust>,"<rep__ __cust__ hi tori , we hope you both have an amazing time in prague ! it would be rude not to partake in a beer or two when it 's so cheap ! ^kelly __rep> <cust__ __company__ that 's slightly delayed by serious fog so need to go get lost in it now see you on friday for the return __cust> <rep__ __cust__ have a great time while you 're there , tori ! ^alex c __rep>",
2876907,NEWFEAT,airlines.csv:42779,<cust__ __company__ when are you going to update your app for iphone x ? __cust>,"<rep__ __cust__ hi , aaron ! although we do n't have a specific timeframe to share , we 'll be sure to pass along your request . __initials__ __rep>",
185762,OTHER,airlines.csv:12446,<cust__ heading to see the __twitter_at__ play in the __twitter_tag__ in __twitter_tag__ az ! tons of __twitter_tag__ fans on my __company__ flight ! __twitter_tag__ ! __cust>,<rep__ __cust__ it 's going to be a fun ride ! __rep>,
165395,CUSTSUPP,airlines.csv:34272,<cust__ thank you __company__ had to cancel flight booked with points at last minute . called and spoke to a person instead of a machine who took care of everything in just a few minutes . made my life easier today . __cust>,<rep__ __cust__ we 've always got your back ! glad we could make lemonade out of a sour situation . we hope to share the skies again soon ! __initials__ __rep>,
1570530,INFLIGHTFACS,airlines.csv:18665,"<cust__ second to last trip for __twitter_tag__ and i got upgraded ! thanks , __company__ . __cust>","<rep__ __cust__ you 're welcome , sarah ! we 'd like to finish your trip with __twitter_tag__ . __rep>",
561397,DELAY,airlines.csv:35266,<cust__ where is flight __num__ ! ! ? __company__ __cust>,"<rep__ __cust__ hi , there . what are the city pairs for your flight ? we 'll look further into this . __initials__ __rep> <cust__ __company__ __airport_code__ to fll __cust>",
1253091,FLIGHTSTAFF,airlines.csv:17345,"<cust__ exceptional crew on __company__ # __num__ to __airport_code__ ... with some challenging passengers , they were classy pros . __twitter_tag__ you ! __cust>",<rep__ __cust__ we have the best crews in the biz ! we 're so glad they were so classy and took great care of everyone . __rep>,
2759944,FLIGHTSTAFF,airlines.csv:11095,<cust__ im grateful benjamin with . __company__ is being a great assistance with our holiday travel . __twitter_tag__ great __twitter_tag__ __cust>,<rep__ __cust__ hello rene . thank you for the positive feedback . i 'm glad that benjamin was able to assist you . __initials__ __rep>,
2986808,TERMOPS,airlines.csv:25174,<cust__ waiting for my bag from american airlines for __num__ mins and then when i ask they tell me that its at the gate __company__ __cust>,<cust__ __company__ no one bothers letting me know when boarding or during landing louisville to ohare chicago __cust> <cust__ __company__ __num__ flight no __cust> <cust__ __company__ czar the attendant at baggage claim was very helpful and polite __cust> <rep__ __cust__ we 're sorry to hear that you did n't know that your valet checked bag would be at the gate today . thanks for your patience . __rep>,
905344,OTHER,airlines.csv:3573,<cust__ thanks __company__ for your awesome customer service ... im now on my way home __twitter_tag__ __cust>,<rep__ __cust__ thank you for the shoutout . have a nice weekend . __initials__ __rep>,
825560,INFLIGHTENT,airlines.csv:3175,<cust__ __twitter_at__ your inflight wifi for messaging does __airport_code__ work on __company__ flights jfk-lis never works when i travel ! __cust>,<rep__ __cust__ i 'm really sorry for the inconvenience . __initials__ __rep>,
1918642,CHGFLT,airlines.csv:39436,<cust__ __company__ how soon before a flight can you cancel a wan na get away fare and maintain the travel funds ? __cust>,"<rep__ __cust__ hey , grace . customers must cancel their reservation at least __num__ minutes prior to the flight 's departure to have travel funds available . __initials__ __rep> <cust__ __company__ thanks for your help ! : ) __cust>",
